satisfaction,sex,customer_type,age,travel_type,class,flight_distance,seat_comfort,time_convenience,food_drink,gate_location,inflight_wifi,inflight_entertainment,online_support,ease_booking,onboard_service,leg_room,baggage_handling,checkin_service,cleanliness,online_boarding,departure_delay,arrival_delay
dissatisfied,Female,loyal,39,Business ,Business,2620,3,4,2,4,4,3,2,3,3,3,3,1,3,4,0,0
dissatisfied,Female,loyal,66,Business ,Business,2364,3,5,4,4,4,4,4,3,3,3,3,1,3,4,96,84
satisfied,Female,loyal,8,Personal ,Eco,1828,4,3,4,4,2,5,4,5,5,5,5,5,5,4,16,5
dissatisfied,Male,loyal,43,Business ,Eco,3564,3,4,5,4,3,3,3,3,2,1,2,3,4,3,0,4
dissatisfied,Female,disloyal,26,Business ,Eco,2040,3,3,3,3,1,3,1,1,3,3,2,1,2,1,0,0
dissatisfied,Male,loyal,29,Personal ,Eco Plus,2439,1,5,1,1,2,1,3,2,2,2,3,5,5,2,0,0
satisfied,Female,loyal,44,Business ,Business,858,3,3,3,3,2,5,4,4,4,4,4,4,4,5,1,0
dissatisfied,Male,disloyal,39,Business ,Business,1610,2,2,2,1,3,2,3,3,3,5,4,5,4,3,0,0
dissatisfied,Male,loyal,65,Personal ,Business,691,4,0,5,5,5,5,4,5,5,5,5,5,5,3,104,101
satisfied,Female,loyal,40,Business ,Business,2889,2,3,2,2,4,4,5,5,5,5,5,3,5,3,4,1
satisfied,Female,loyal,33,Business ,Eco,1435,5,3,5,3,5,5,5,5,3,2,2,1,2,5,36,29
satisfied,Female,loyal,57,Personal ,Business,730,5,5,5,5,5,4,5,5,5,5,5,4,5,5,12,14
dissatisfied,Female,loyal,42,Business ,Business,3043,3,3,3,3,3,2,3,3,3,3,3,1,3,2,0,0
dissatisfied,Male,loyal,62,Personal ,Eco,1566,1,4,1,1,5,1,5,5,2,4,5,5,3,5,0,0
satisfied,Female,loyal,67,Business ,Business,1497,3,3,3,3,5,5,4,5,5,5,5,4,5,5,0,0
satisfied,Male,loyal,40,Business ,Business,3009,2,2,2,2,2,4,4,4,4,4,4,3,4,5,0,0
satisfied,Male,loyal,47,Business ,Business,2538,1,1,1,1,3,5,4,4,4,4,4,3,4,3,0,0
satisfied,Male,loyal,45,Business ,Business,2434,5,5,5,5,5,4,5,5,5,5,5,3,5,4,0,0
satisfied,Male,loyal,42,Business ,Business,3051,1,1,1,1,2,4,4,5,5,4,5,5,5,5,0,0
satisfied,Female,loyal,24,Business ,Business,3512,3,3,3,3,3,4,3,3,1,5,2,5,5,3,8,3
satisfied,Male,loyal,58,Business ,Business,221,3,3,3,3,5,2,5,4,4,5,3,1,4,2,0,18
satisfied,Male,loyal,37,Business ,Business,316,0,0,0,4,3,5,5,5,5,5,1,2,5,2,0,24
dissatisfied,Male,loyal,16,Business ,Business,2595,2,4,4,4,2,2,2,2,4,1,4,4,3,2,0,0
dissatisfied,Female,disloyal,20,Business ,Eco,1726,1,2,1,3,2,1,2,2,4,4,3,4,4,2,16,6
satisfied,Female,loyal,26,Business ,Business,2911,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0
satisfied,Male,loyal,44,Business ,Eco,2242,2,1,1,1,2,2,2,2,2,5,2,4,1,2,0,12
satisfied,Female,loyal,21,Personal ,Eco,2011,5,5,5,5,2,2,3,5,5,5,5,2,5,5,1,0
dissatisfied,Male,loyal,53,Business ,Business,3408,3,4,4,4,2,4,3,3,3,3,3,3,3,3,0,0
satisfied,Male,loyal,46,Business ,Business,2523,4,4,4,4,2,4,4,5,5,5,5,3,5,5,0,0
satisfied,Female,loyal,33,Business ,Business,3867,2,2,2,2,3,5,4,3,3,4,3,4,3,5,0,0
dissatisfied,Female,loyal,57,Business ,Business,2400,3,4,4,4,4,3,2,2,2,2,3,1,2,4,2,4
satisfied,Male,disloyal,29,Business ,Eco,1302,4,3,4,4,1,4,1,1,3,4,1,5,1,1,10,0
dissatisfied,Female,loyal,39,Business ,Eco,1134,3,1,1,1,3,3,3,3,3,2,3,4,4,3,6,5
satisfied,Male,loyal,43,Business ,Business,2486,5,5,5,5,5,5,4,5,5,5,5,4,5,5,84,69
satisfied,Male,loyal,52,Business ,Business,3949,2,2,2,2,5,4,5,3,3,3,3,4,3,4,11,9
dissatisfied,Female,loyal,52,Business ,Business,328,2,2,3,2,1,3,4,2,2,2,2,2,2,1,2,0
dissatisfied,Female,disloyal,22,Business ,Business,1539,2,3,2,3,2,2,2,2,1,4,3,4,3,2,37,37
satisfied,Female,loyal,36,Business ,Business,2935,4,4,4,4,2,5,5,4,4,4,4,5,4,3,0,0
satisfied,Male,loyal,28,Business ,Business,3887,4,4,3,4,4,4,4,4,5,3,4,4,5,4,0,0
dissatisfied,Male,loyal,40,Business ,Eco,1999,2,4,4,4,2,2,2,2,3,3,3,4,3,2,0,0
satisfied,Female,loyal,55,Business ,Business,408,3,3,4,3,3,5,4,4,4,4,4,5,4,5,0,0
dissatisfied,Male,loyal,49,Personal ,Eco,2149,2,0,2,4,5,2,5,5,4,4,5,3,5,5,0,0
dissatisfied,Female,loyal,55,Business ,Eco,2027,3,2,2,2,2,3,3,3,3,3,3,4,3,2,7,15
dissatisfied,Female,loyal,43,Business ,Business,3444,3,3,3,3,1,4,4,3,3,3,3,2,3,1,11,6
dissatisfied,Male,disloyal,38,Business ,Business,1033,3,3,3,1,3,3,3,3,5,2,5,3,5,3,10,32
dissatisfied,Male,disloyal,59,Business ,Eco,2447,4,4,4,4,4,1,4,1,4,4,4,4,3,4,3,7
dissatisfied,Male,loyal,40,Personal ,Eco,2282,3,4,3,4,3,3,3,3,2,2,4,2,4,3,34,15
dissatisfied,Female,loyal,11,Personal ,Eco Plus,3106,3,5,3,5,5,3,5,5,4,4,5,3,4,5,0,0
satisfied,Female,loyal,58,Personal ,Eco Plus,444,5,5,5,5,2,2,2,2,3,3,5,4,5,2,0,5
dissatisfied,Male,loyal,23,Personal ,Eco,2475,2,5,2,3,3,2,3,3,1,2,4,5,4,3,0,0
satisfied,Female,loyal,49,Business ,Business,1858,0,5,0,4,4,5,4,2,2,2,2,4,2,5,11,12
dissatisfied,Male,loyal,61,Personal ,Eco,3428,1,2,1,3,1,1,1,1,1,3,3,2,3,1,0,0
satisfied,Male,loyal,54,Business ,Business,2120,0,0,0,3,3,5,4,2,2,2,2,4,2,3,0,0
satisfied,Female,loyal,67,Personal ,Eco,306,4,3,3,3,4,4,4,2,4,5,1,4,3,4,40,49
satisfied,Female,loyal,38,Personal ,Eco,3427,5,5,5,5,4,4,5,5,5,5,5,5,5,4,1,17
satisfied,Female,loyal,44,Business ,Business,3695,5,3,5,5,2,2,3,4,4,4,4,3,4,1,17,5
dissatisfied,Male,loyal,18,Personal ,Eco,1860,3,3,0,2,0,5,5,5,2,4,5,5,5,5,115,183
satisfied,Female,loyal,42,Business ,Business,2521,4,4,4,4,5,5,5,5,5,5,5,5,5,4,0,0
satisfied,Male,loyal,40,Business ,Business,2191,4,4,4,4,3,5,4,4,4,4,4,5,4,3,0,4
satisfied,Male,loyal,41,Business ,Business,1638,3,3,3,3,3,5,4,4,4,4,4,5,4,4,0,0
dissatisfied,Male,loyal,28,Business ,Business,3213,2,3,3,3,2,2,2,2,2,1,4,3,4,2,0,0
satisfied,Male,loyal,45,Business ,Eco Plus,1563,4,5,5,5,4,4,4,4,2,4,2,2,3,4,0,0
satisfied,Male,loyal,37,Business ,Business,2478,1,1,1,1,5,4,4,5,5,5,5,5,5,3,0,0
dissatisfied,Female,loyal,54,Personal ,Eco,761,3,5,3,4,3,5,4,5,5,3,5,4,5,4,4,0
satisfied,Male,loyal,50,Business ,Eco,2202,4,1,3,1,4,4,4,4,4,5,4,2,5,4,2,29
satisfied,Male,loyal,51,Business ,Eco,1963,4,1,1,1,4,4,4,4,2,3,2,4,3,4,0,0
dissatisfied,Female,disloyal,25,Business ,Business,2161,3,0,3,1,3,3,3,3,4,2,5,3,5,3,15,3
satisfied,Female,loyal,31,Personal ,Eco,2959,1,1,1,1,3,4,2,5,5,5,5,5,5,3,120,88
satisfied,Female,loyal,43,Business ,Business,1509,5,5,5,5,3,2,2,4,4,4,4,5,4,3,1,0
dissatisfied,Male,disloyal,40,Business ,Business,3752,1,2,2,5,1,2,1,1,3,5,5,3,5,1,0,0
dissatisfied,Female,loyal,9,Personal ,Eco,2319,4,4,4,3,2,4,2,2,3,4,5,3,4,2,1,0
satisfied,Female,loyal,9,Personal ,Eco,1770,3,3,3,3,5,5,5,5,3,4,2,3,4,5,2,9
dissatisfied,Female,loyal,36,Personal ,Eco,1976,4,4,4,2,2,4,1,2,3,2,4,5,4,2,0,0
satisfied,Male,loyal,53,Business ,Business,879,1,1,2,1,4,5,5,4,4,4,4,3,4,5,0,0
satisfied,Male,loyal,47,Business ,Eco,1372,5,2,2,2,5,5,5,5,3,4,2,3,4,5,0,0
satisfied,Female,loyal,39,Business ,Business,2155,5,5,5,5,4,5,4,5,5,5,5,4,5,3,0,0
dissatisfied,Male,loyal,44,Business ,Business,586,2,1,1,1,1,4,4,2,2,2,2,3,2,3,30,25
dissatisfied,Male,loyal,47,Personal ,Business,448,2,5,2,2,3,4,4,4,4,2,2,3,4,5,0,19
dissatisfied,Female,disloyal,37,Business ,Eco,2047,4,0,4,5,4,4,4,4,2,4,3,2,4,4,3,0
dissatisfied,Male,loyal,32,Business ,Business,2575,4,2,2,2,4,4,4,4,3,5,2,1,2,4,24,40
satisfied,Male,loyal,42,Business ,Business,1569,1,1,1,1,5,4,4,4,4,4,4,5,4,4,28,26
dissatisfied,Female,loyal,40,Business ,Business,209,1,3,3,3,3,3,4,3,3,3,1,4,3,4,11,8
dissatisfied,Female,loyal,61,Personal ,Eco,996,3,5,3,4,2,5,4,2,2,3,2,4,2,4,5,5
dissatisfied,Female,loyal,9,Personal ,Eco,2527,3,3,3,4,3,1,1,4,4,4,3,1,4,1,196,191
satisfied,Male,loyal,60,Business ,Eco Plus,1644,5,3,3,3,5,5,5,5,5,3,4,1,3,5,0,0
dissatisfied,Male,loyal,28,Personal ,Eco,2132,4,4,4,3,2,4,2,2,4,4,5,4,5,2,22,32
satisfied,Female,loyal,36,Personal ,Eco,1585,3,3,3,3,2,5,5,5,5,5,5,5,5,5,0,0
dissatisfied,Male,disloyal,36,Business ,Business,1975,3,3,3,3,5,3,5,5,4,5,5,3,4,5,0,0
dissatisfied,Male,loyal,50,Personal ,Eco,3467,3,3,2,4,3,2,3,3,2,4,4,4,3,3,88,42
dissatisfied,Female,loyal,26,Personal ,Eco,2098,3,5,3,5,3,3,3,3,5,3,4,3,5,3,7,4
dissatisfied,Female,loyal,54,Business ,Eco,377,4,2,2,2,4,3,4,4,4,4,4,1,4,2,24,15
