Potability,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity
safe,4.812433652,250.1839535,11465.57564,4.362641198,398.1619036,607.0265423,18.2100315,62.51146711,3.0209959
safe,8.764495619,210.851346,15978.03656,8.043354127,328.759844,324.0473755,12.12837684,59.7891627,5.790838006
safe,6.643734376,202.4136379,14110.92097,8.754110049,340.9755587,291.0847438,15.954654529999999,64.36379306,3.920607408
unsafe,6.652824348,187.9464088,19155.72756,5.949621953,345.3585328,433.8752091,20.52319058,26.1408627,3.661529274
unsafe,5.470981822,191.81304600000001,36435.79351,7.369649468,323.1200362,383.8710546,15.88138166,52.76504901,3.844019871
safe,6.284385791,222.6887949,18526.26169,8.980270624,395.2616371,517.1505478,15.8690103,55.38433284,5.030712169
unsafe,6.465093529,241.2681377,43958.67813,7.420154854,306.0203928,544.6005667,20.76898639,89.64650592,3.790523693
safe,4.872560878,224.7051051,16960.43463,7.078014889,323.0368521,354.3906043,15.69217561,79.96280267,3.918005799
safe,11.49101091,94.81254522,37188.82602,9.263166161,258.9306004,439.8936179,16.17275544,41.55850072,4.369264314
safe,8.137767883,203.8618673,24172.70331,6.844017626,305.8325797,470.8362645,19.23296141,30.7084213,5.003825786
unsafe,5.970035657,230.4493293,16324.1152,5.293918607,315.1861206,327.786642,13.32598708,39.55424883,5.428674072
safe,6.319431545,180.9656209,36278.71831,9.960552065,275.5917457,307.6913606,18.19693095,93.59424603,2.653126688
unsafe,8.524296363,141.8102426,12658.17716,11.26438585,347.2680922,387.0858873,12.78995759,69.57709863,4.343059524
unsafe,7.446089059,179.1468362,17763.31099,9.876515049,328.4590221,364.1341734,12.98249107,49.05124066,2.948657439
unsafe,6.58545023,166.9659605,30210.25037,9.508298704,340.2457661,430.0785909,23.23432591,72.79991739,4.275640248
unsafe,8.558388775,198.8888678,8535.402956,4.796665836,321.4034765,453.5711626,14.3516245,74.32620443,3.946227719
unsafe,7.575757884,203.8843728,20855.27232,8.109311854,334.0274201,532.3111875,14.23601317,74.63870561,3.176432526
safe,6.217584914,203.7072216,15597.64088,7.751461186,361.2478097,452.9220249,14.59714452,70.8509765,4.15016691
unsafe,6.769572869,168.9370725,11067.18115,7.121263609,305.7949503,289.5424601,18.54590296,62.00157128,5.22054027
safe,5.729302912,162.8575851,34573.67879,5.654856361,415.2870722,297.6313652,13.99084222,76.74467672,3.556394812
safe,5.910539738,241.1407463,25721.83387,4.80675902,385.8874683,462.61253,14.31682145,60.59035856,4.007508148
unsafe,4.758648347,203.5378325,23603.06542,7.667128479,324.0843341,288.9124568,18.06495658,85.9166662,4.405508764
unsafe,7.038092306,204.923285,24607.0881,8.080155764,280.7456229,365.845248,10.80755685,59.91244205,4.237697607
unsafe,4.26526964,199.4994515,25634.53328,5.914884438,260.2612056,300.5479288,12.1987325,55.94236583,4.900446069
safe,10.25281623,218.2797001,18158.84212,8.657341897,349.5295679,336.1988372,19.44259882,82.85827184,4.559836219
unsafe,5.264283802,142.5341263,25556.05313,6.600786951,416.2627987,443.759231,7.49136247,72.87984778,5.100239665
unsafe,8.26994471,192.0037757,11889.21775,8.377233431,345.9873539,405.3406089,17.39566199,85.44498456,3.076479932
unsafe,7.260319682,194.2477421,8127.071254,6.674031761,394.5558349,312.3490171,16.00502153,65.02396013,4.282314756
safe,7.774468469,216.7528722,22316.39828,7.947534131,385.0434376,288.0685777,14.13669901,68.86186085,3.891097334
unsafe,4.09141145,146.7899381,24252.45882,7.254980811,282.6935021,482.2944042,10.61155551,70.06944171,5.95232482
unsafe,5.588537191,171.3331234,17732.24067,5.588614466,343.0415751,466.4454294,13.82775502,59.37645118,4.37399858
safe,9.545270521,212.0463911,25189.83062,6.203868785,316.5673193,498.2669594,20.05151858,52.90112726,4.983903465
safe,6.460033522,215.4406413,35775.7934,6.502544137,307.5634549,365.0941435,8.127542868,77.55495328,3.535597779
unsafe,6.361666803,175.0439989,25833.85171,8.243781227,333.9471072,302.1907102,10.55857558,70.10769298,3.681765114
unsafe,7.810144933,187.3150477,20418.88993,7.214895724,325.2288808,351.1860809,16.80039961,68.48548029,4.033773709
