"Film","ext","neur","imp","soc","posaff","negaff","BDI"
"Nature",18,9,7,10,7,4,0.0476190476190476
"Nature",16,12,5,8,5,5,0.333333333333333
"Nature",6,5,3,1,3,1,0.19047619047619
"Nature",12,15,4,6,0,2,0.384615384615385
"Nature",14,2,5,6,16,13,0.380952380952381
"Documentary",6,15,2,4,2,2,0.238095238095238
"Documentary",15,12,4,9,8,8,0.307692307692308
"Horror",18,10,7,9,16,0,0
"Horror",15,1,3,11,14,0,0
"Horror",8,10,2,5,11,2,0.333333333333333
"Documentary",13,9,3,9,3,7,0.380952380952381
"Comedy",14,1,3,12,29,0,0.142857142857143
"Comedy",15,2,4,10,4,0,0
"Comedy",19,3,7,11,21,2,0
"Documentary",15,7,4,10,12,4,0.0476190476190476
"Documentary",11,13,6,5,21,9,0.19047619047619
"Documentary",16,18,5,10,4,18,0.666666666666667
"Documentary",17,11,6,11,21,6,0.333333333333333
"Documentary",7,10,2,4,12,12,0.428571428571429
"Documentary",13,12,4,8,8,1,0
"Horror",14,3,5,7,7,2,0.0476190476190476
"Horror",11,10,3,7,12,4,0.523809523809524
"Horror",20,10,7,10,2,6,0.0476190476190476
"Horror",12,8,1,10,7,1,0.428571428571429
"Horror",13,9,4,7,15,3,0.285714285714286
"Horror",10,9,3,7,10,6,0.476190476190476
"Comedy",18,2,6,10,10,0,0.0952380952380952
"Comedy",14,12,5,7,16,0,0.0952380952380952
"Nature",13,7,4,7,5,0,0.428571428571429
"Comedy",16,19,6,9,24,0,0.380952380952381
"Comedy",11,14,5,4,15,10,0.0476190476190476
"Comedy",8,17,3,5,14,5,0.80952380952381
"Comedy",10,15,5,3,15,1,0.238095238095238
"Nature",13,14,5,8,22,1,0.285714285714286
"Nature",11,10,4,5,13,11,0.380952380952381
"Horror",5,9,1,3,8,4,0.333333333333333
"Nature",13,10,5,8,0,1,0.238095238095238
"Horror",7,5,1,3,2,0,0.380952380952381
"Nature",12,10,4,7,21,0,0.0476190476190476
"Horror",10,13,5,4,2,1,0.80952380952381
"Horror",14,14,3,10,10,14,0.19047619047619
"Horror",11,8,3,7,11,1,0
"Documentary",15,2,5,9,15,20,0.142857142857143
"Documentary",14,18,5,7,12,10,0.380952380952381
"Comedy",19,11,7,9,24,0,0.0952380952380952
"Documentary",14,13,5,8,1,6,0.428571428571429
"Documentary",11,17,3,8,5,15,0.857142857142857
"Documentary",16,13,5,9,7,11,0.666666666666667
"Documentary",19,13,6,11,14,16,0.619047619047619
"Documentary",20,7,8,10,8,6,0.0952380952380952
"Comedy",7,16,0,5,15,1,0.428571428571429
"Documentary",10,18,5,3,4,7,0.523809523809524
"Documentary",9,13,2,6,6,6,0.238095238095238
"Documentary",12,13,4,6,0,0,0.333333333333333
"Nature",14,12,5,8,9,2,0.0952380952380952
"Nature",20,6,7,12,15,0,0.0476190476190476
"Nature",11,8,3,7,13,4,0.333333333333333
"Comedy",10,10,4,5,8,0,0.0952380952380952
"Comedy",14,10,5,8,18,0,0.285714285714286
"Nature",12,10,4,7,10,5,0.285714285714286
"Nature",15,3,3,11,11,0,0.0476190476190476
"Nature",12,7,2,9,23,0,0.19047619047619
"Horror",5,15,3,1,6,5,0.857142857142857
"Comedy",13,6,4,7,11,3,0.19047619047619
"Comedy",10,6,1,9,16,0,0.142857142857143
"Comedy",5,19,3,2,14,0,1.14285714285714
"Comedy",6,14,3,2,16,1,0.285714285714286
"Comedy",18,2,7,9,20,0,0.238095238095238
"Horror",12,18,4,7,12,4,0
"Horror",18,13,5,11,2,3,0.428571428571429
"Horror",17,13,6,10,17,4,0.571428571428571
"Horror",17,13,6,9,16,1,0.476190476190476
"Horror",12,5,5,4,17,8,0.0476190476190476
