survived,fare,pclass,sex,age,sibsp,parch
1,211.3375,1,female,29,0,0
1,151.55,1,male,0.9167,1,2
0,151.55,1,female,2,1,2
0,151.55,1,male,30,1,2
0,151.55,1,female,25,1,2
1,26.55,1,male,48,0,0
1,77.9583,1,female,63,1,0
0,0,1,male,39,0,0
1,51.4792,1,female,53,2,0
0,49.5042,1,male,71,0,0
0,227.525,1,male,47,1,0
1,227.525,1,female,18,1,0
1,69.3,1,female,24,0,0
1,78.85,1,female,26,0,0
1,30,1,male,80,0,0
0,25.925,1,male,NA,0,0
0,247.5208,1,male,24,0,1
1,247.5208,1,female,50,0,1
1,76.2917,1,female,32,0,0
0,75.2417,1,male,36,0,0
1,52.5542,1,male,37,1,1
1,52.5542,1,female,47,1,1
1,30,1,male,26,0,0
1,227.525,1,female,42,0,0
1,221.7792,1,female,29,0,0
0,26,1,male,25,0,0
1,91.0792,1,male,25,1,0
1,91.0792,1,female,19,1,0
1,135.6333,1,female,35,0,0
1,26.55,1,male,28,0,0
0,35.5,1,male,45,0,0
1,31,1,male,40,0,0
1,164.8667,1,female,30,0,0
1,26.55,1,female,58,0,0
0,26.55,1,male,42,0,0
1,262.375,1,female,45,0,0
1,55,1,female,22,0,1
1,26.55,1,male,NA,0,0
0,30.5,1,male,41,0,0
0,50.4958,1,male,48,0,0
0,39.6,1,male,NA,0,0
1,27.7208,1,female,44,0,0
1,51.4792,1,female,59,2,0
1,76.2917,1,female,60,0,0
1,134.5,1,female,41,0,0
0,26.55,1,male,45,0,0
0,31,1,male,NA,0,0
1,26.2875,1,male,42,0,0
1,27.4458,1,female,53,0,0
1,512.3292,1,male,36,0,1
1,512.3292,1,female,58,0,1
0,5,1,male,33,0,0
0,47.1,1,male,28,0,0
0,47.1,1,male,17,0,0
1,120,1,male,11,1,2
1,120,1,female,14,1,2
1,120,1,male,36,1,2
1,120,1,female,36,1,2
0,26,1,male,49,0,0
1,27.7208,1,female,NA,0,0
0,78.85,1,male,36,1,0
1,78.85,1,female,76,1,0
0,61.175,1,male,46,1,0
1,61.175,1,female,47,1,0
1,53.1,1,male,27,1,0
1,53.1,1,female,33,1,0
1,262.375,1,female,36,0,0
1,86.5,1,female,30,0,0
1,29.7,1,male,45,0,0
1,55,1,female,NA,0,1
0,0,1,male,NA,0,0
0,136.7792,1,male,27,1,0
1,136.7792,1,female,26,1,0
1,151.55,1,female,22,0,0
0,52,1,male,NA,0,0
0,25.5875,1,male,47,0,0
1,83.1583,1,female,39,1,1
0,83.1583,1,male,37,1,1
1,83.1583,1,female,64,0,2
1,25.7,1,female,55,2,0
0,26.55,1,male,NA,0,0
0,71,1,male,70,1,1
1,71,1,female,36,0,2
