survived,pclass,sex,age,sibsp,parch,fare
yes,1st,female,29,0,0,211.3375
yes,1st,male,0.9167,1,2,151.55
no,1st,male,30,1,2,151.55
no,1st,female,25,1,2,151.55
yes,1st,male,48,0,0,26.55
yes,1st,female,63,1,0,77.9583
yes,1st,female,53,2,0,51.4792
no,1st,male,71,0,0,49.5042
no,1st,male,47,1,0,227.525
yes,1st,female,18,1,0,227.525
yes,1st,female,24,0,0,69.3
yes,1st,female,26,0,0,78.85
yes,1st,male,80,0,0,30
no,1st,male,24,0,1,247.5208
yes,1st,female,50,0,1,247.5208
yes,1st,female,32,0,0,76.2917
no,1st,male,36,0,0,75.2417
yes,1st,male,37,1,1,52.5542
yes,1st,female,47,1,1,52.5542
yes,1st,male,26,0,0,30
yes,1st,female,42,0,0,227.525
yes,1st,female,29,0,0,221.7792
no,1st,male,25,0,0,26
yes,1st,male,25,1,0,91.0792
yes,1st,female,19,1,0,91.0792
yes,1st,female,35,0,0,135.6333
yes,1st,male,28,0,0,26.55
no,1st,male,45,0,0,35.5
yes,1st,male,40,0,0,31
yes,1st,female,30,0,0,164.8667
yes,1st,female,58,0,0,26.55
no,1st,male,42,0,0,26.55
yes,1st,female,45,0,0,262.375
yes,1st,female,22,0,1,55
no,1st,male,41,0,0,30.5
no,1st,male,48,0,0,50.4958
yes,1st,female,44,0,0,27.7208
yes,1st,female,59,2,0,51.4792
yes,1st,female,60,0,0,76.2917
yes,1st,female,41,0,0,134.5
no,1st,male,45,0,0,26.55
yes,1st,male,42,0,0,26.2875
yes,1st,female,53,0,0,27.4458
yes,1st,male,36,0,1,512.3292
yes,1st,female,58,0,1,512.3292
no,1st,male,28,0,0,47.1
no,1st,male,17,0,0,47.1
yes,1st,male,11,1,2,120
yes,1st,female,14,1,2,120
yes,1st,male,36,1,2,120
yes,1st,female,36,1,2,120
no,1st,male,49,0,0,26
no,1st,male,36,1,0,78.85
yes,1st,female,76,1,0,78.85
no,1st,male,46,1,0,61.175
yes,1st,female,47,1,0,61.175
yes,1st,male,27,1,0,53.1
yes,1st,female,33,1,0,53.1
yes,1st,female,36,0,0,262.375
yes,1st,female,30,0,0,86.5
yes,1st,male,45,0,0,29.7
no,1st,male,27,1,0,136.7792
yes,1st,female,26,1,0,136.7792
yes,1st,female,22,0,0,151.55
no,1st,male,47,0,0,25.5875
yes,1st,female,39,1,1,83.1583
no,1st,male,37,1,1,83.1583
yes,1st,female,64,0,2,83.1583
yes,1st,female,55,2,0,25.7
no,1st,male,70,1,1,71
yes,1st,female,36,0,2,71
yes,1st,female,64,1,1,26.55
no,1st,male,39,1,0,71.2833
yes,1st,female,38,1,0,71.2833
yes,1st,male,51,0,0,26.55
yes,1st,male,27,0,0,30.5
yes,1st,female,33,0,0,151.55
no,1st,male,31,1,0,52
yes,1st,female,27,1,2,52
yes,1st,male,31,1,0,57
yes,1st,female,17,1,0,57
yes,1st,male,53,1,1,81.8583
yes,1st,female,54,1,1,81.8583
no,1st,male,50,1,0,106.425
yes,1st,female,27,1,1,247.5208
yes,1st,female,48,1,0,106.425
yes,1st,female,48,1,0,39.6
yes,1st,male,49,1,0,56.9292
no,1st,male,39,0,0,29.7
yes,1st,female,23,0,1,83.1583
yes,1st,female,38,0,0,227.525
yes,1st,female,54,1,0,78.2667
no,1st,female,36,0,0,31.6792
yes,1st,male,36,0,0,26.3875
no,1st,male,30,0,0,27.75
yes,1st,female,24,3,2,263
yes,1st,female,28,3,2,263
yes,1st,female,23,3,2,263
no,1st,male,19,3,2,263
