role,device,opsys,screen,r_import,r_wrangle,r_analyze,lm_concepts,lm_conducting,lm_reviewing,ml_concepts,ml_conducting,ml_reviewing
Graduate student,Laptop computer,MacOS,2 screens,2,1,2,2,3,2,1,1,
Graduate student,Laptop computer,MacOS,2 screens,3,2,2,2,2,2,2,2,1
Graduate student,Laptop computer,MacOS,1 small screen,3,1,2,2,3,2,1,,
Professor/Faculty,Laptop computer,MacOS,1 large screen,2,1,1,2,3,3,1,1,1
Postdoctoral scholar,Laptop computer,MacOS,1 small screen,3,1,2,3,3,2,1,,
Other,Laptop computer,Windows,3 or more screens,2,2,2,3,3,3,1,1,
Postdoctoral scholar,Laptop computer,Windows,3 or more screens,4,3,3,4,4,4,2,1,1
Professor/Faculty,Laptop computer,MacOS,1 small screen,2,1,1,3,4,3,3,3,2
Graduate student,Laptop computer,Windows,2 screens,4,2,2,4,4,2,1,,
Postdoctoral scholar,Laptop computer,Windows,1 large screen,3,1,2,3,3,2,0,0,0
Postdoctoral scholar,Laptop computer,Windows,2 screens,4,3,3,4,4,4,2,,2
Postdoctoral scholar,Desktop computer,MacOS,2 screens,4,4,4,3,4,4,1,1,1
Graduate student,Laptop computer,MacOS,1 small screen,3,2,2,2,2,1,,,
Graduate student,Laptop computer,MacOS,1 small screen,3,3,2,3,3,2,1,,
Professor/Faculty,Laptop computer,MacOS,2 screens,1,0,,3,3,3,1,2,1
Graduate student,Laptop computer,MacOS,1 large screen,4,3,3,2,2,2,1,,
Graduate student,Laptop computer,MacOS,2 screens,3,2,2,3,3,2,1,1,
Graduate student,Laptop computer,MacOS,2 screens,4,4,4,4,4,3,1,1,1
Professor/Faculty,Desktop computer,Windows,2 screens,3,2,2,3,3,3,1,0,0
Graduate student,Laptop computer,MacOS,2 screens,4,2,2,2,2,1,1,,
Graduate student,Laptop computer,MacOS,2 screens,4,4,3,3,3,0,1,0,0
Graduate student,Laptop computer,MacOS,2 screens,3,2,1,2,2,1,1,,
Graduate student,Laptop computer,MacOS,1 small screen,3,3,3,2,2,1,1,0,0
Graduate student,Laptop computer,MacOS,2 screens,3,3,3,3,2,3,1,1,
Professor/Faculty,Laptop computer,MacOS,1 large screen,3,3,3,3,3,3,0,0,0
Postdoctoral scholar,Desktop computer,MacOS,2 screens,4,4,3,3,3,3,1,1,
Graduate student,Laptop computer,MacOS,1 large screen,3,3,2,3,3,1,1,1,
Graduate student,Laptop computer,MacOS,2 screens,2,,3,4,4,2,1,,
Graduate student,Laptop computer,MacOS,1 small screen,3,2,2,3,3,3,2,2,1
Professor/Faculty,Laptop computer,Windows,2 screens,3,3,3,4,4,4,1,1,1
Graduate student,Laptop computer,Windows,1 large screen,4,3,3,3,3,3,1,,
Postdoctoral scholar,Laptop computer,Windows,1 large screen,4,4,4,3,3,2,1,0,
Professor/Faculty,Laptop computer,MacOS,2 screens,4,,4,4,4,4,2,1,1
Graduate student,Laptop computer,MacOS,2 screens,4,3,2,2,2,2,1,0,0
